,black,white,start_time,fifthmove,rt,result,blackelo,whiteelo,num_black_games,num_white_games
101,Artofmagic,obadye,1606833056.0,e4e5,2.0,0.0,996,1014,0,0
102,anthonee619,youpi1,1606833154.0,b1c3,3.0,0.5,1013,1046,0,0
103,P1caresque,fifi59,1606833901.0,e4e5,3.0,1.0,1084,1084,1,0
104,sorush95,Jaidevjai,1606834278.0,e4e5,1.0,0.0,1032,1021,0,0
105,sTremblay,HDAVUD21,1606834280.0,b1c3,2.0,1.0,1014,1018,0,0
106,Daphneeeng,kingdamir13,1606834339.0,c1g5,11.0,0.0,879,885,0,0
107,Don-Juandissimo,Suhasa123,1606834695.0,e4e5,2.0,1.0,1101,1044,0,0
108,TameemKamal,jabear555,1606834808.0,b1d2,3.0,0.0,1062,1005,0,0
109,gsmith143,Arc6180,1606834928.0,b1d2,1.0,1.0,1102,1134,0,0
110,arcarrer2018,brinklebash,1606834954.0,e4e5,0.0,1.0,920,957,2,0
111,YuriyLis,heminchampaneri,1606835376.0,e4e5,1.0,1.0,1005,1021,0,0
112,Palla_de_foco,Leksst,1606835477.0,e4e5,2.0,1.0,1064,1067,0,0
113,ChallangerJungler,Seeg7345,1606835769.0,b1c3,4.0,1.0,1079,1036,0,0
114,Rootletorer,kelleciegemem,1606836433.0,e4d5,0.0,0.0,1068,972,0,0
115,lee020402,tityzzz,1606837051.0,b1c3,-1.0,1.0,1074,1032,1,1
116,shinsouuu,isimsizoyuncu,1606837379.0,e4e5,0.0,1.0,1059,1165,0,0
117,Vadim_Stutko,jaywalking1968,1606837522.0,e4e5,7.0,0.0,1199,1185,0,0
118,calex159,Nagibat,1606837610.0,e4d5,1.0,0.0,1149,1165,0,0
119,sprontz,TomHebe,1606837664.0,e4e5,0.0,1.0,1128,1054,0,0
120,jjdavid,soparpasha,1606837699.0,e4d5,3.0,1.0,1046,1015,0,0
121,claudiocacapa,Misha-Litovkin,1606837963.0,e4d5,0.0,1.0,1194,1064,0,0
122,therealspiderman,Papabuzz,1606838202.0,b1c3,6.0,1.0,1072,1061,0,0
123,Benjaminbobda,cagrimemis,1606838219.0,b1c3,7.0,0.0,1131,1166,0,0
124,One_Legend,LOR_J,1606838220.0,e4e5,0.0,1.0,1072,1161,0,0
125,peignoir,Abhishek_jha,1606838232.0,f2f3,5.0,1.0,1077,1092,0,0
126,lee020402,graiveson,1606838481.0,e4d5,-2.0,0.0,1077,1074,2,1
127,AkumuYuma,lee020402,1606838614.0,e4d5,6.0,1.0,1067,1082,0,0
128,Arnolsid,Tojol,1606839132.0,e4e5,3.0,1.0,1124,1091,0,0
129,luckydefeater,Moritzz,1606839214.0,e4e5,1.0,1.0,1125,1111,0,0
130,MarvelousMitch,Nikita_051107,1606839282.0,e4e5,0.0,1.0,1067,1093,0,0
131,Antonnn777,Cdoruk37,1606839309.0,g1f3,1.0,1.0,1142,1162,1,0
